question,answer
Qual é o nome do rio de Contas no Brasil,Rio das Contas.
De onde vêm a empresa seara alimentos,Brasil
qual país sul-americano tem o maior número de espécies puffball,Brasil
Que idade as tribos amazônicas usam a tecnologia de,Idade da Pedra
Que tipo de floresta está em Las Pinas Paranaque,manguezal
Quantos episódios na série de TV Las Amazonas,105.
Quando foi criado o Conselho Consultivo no Parque Nacional da Amazônia,26 de novembro de 2004.
Qual é o clima das florestas costeiras da Bahia,tropical
Onde os jogos da fome pegavam o fogo aberto?,Brasil
Quem joga Alejandro em Las Amazonas Telenovelas,Andrés Palacios.
onde fica a floresta amazônica localizada em um mapa do mundo,Brasil
Quando os primeiros geoglifos foram descobertos na floresta amazônica,1977.
Qual é a camada mais escura da floresta amazônica,chão de floresta
A cidade de Palmeira Parana foi fundada em que animal,capão
Por que os pássaros barbudos são raros no Brasil?,Destruição do habitat.
"Qual é o nome da Agência Brasileira de Pesquisa,",EMBRAPA.
onde Olga de Alaketu morava no Brasil,Bahia.
Em que ano os indígenas protestam contra a mineração de cobre na região amazônica,2012.
Quem descobriu a ilha vermelha no cantino,Fernando de Noronha
Quantas agências nacionais estão envolvidas no projeto Guarani Aquifer,Quatro.
Onde fica o Bioma Bahia Mangrove localizado na América do Sul,Nordeste do Brasil.
Saquarema Beach é a capital de qual cidade,Rio de Janeiro
onde está em Port Salvador localizado no Brasil,ALL TO SAINTS BAY.
Onde fica o rio Hamza localizado no Brasil,Rio de Janeiro
Que tipo de sub-bosque é comum nas florestas do Atlântico Médio,Evergreen
Quais são as principais exportações do estado do Amazonas?,celulares
Qual é o nome do time de futebol brasileiro patrocinado pela Seara Foods,Santos Futebol Clube.
onde a Grã-Bretanha próxima modelo de topo 3ª temporada ocorre,"Rio de Janeiro, Brasil"
Qual rio foi usado como uma nova fronteira entre o Brasil e a Argentina em 18,Rio Uruguai
onde vivem os trogs amazônicos na América do Sul?,Florestas úmidas
que cor é as orelhas de gato pantanal,avermelhado
Quem controlou a placa do rio no Brasil no final do século XIX,O britânico
Qual é outro nome para o cervo marrom amazônico?,O pequeno bloco marrom
Qual é a principal causa da queda no investimento em pesquisa no Brasil,Desaceleração econômica
Quão longe o Merganso Brasileiro vive em um rio,oito a dezessete quilômetros
Qual é o nome do mawé no Amazonas?,SATERÉ.
As relações do Brasil com o Iraque foram tensas pelo governo de,Collor.
O que fez com que o trem descarrilasse no Brasil,Velocidade excessiva
Quantos limites existem no mapa da Mata Atlântica,Quatro.
De que árvore os pintores Venetian usam lagos vermelhos,a árvore brasileira
Solanum Seaforthianum é o nome latino para o qual a planta evergreen,Nightshade brasileira
Fernando de Noronha está fora da costa de qual país,Brasil
onde Tarzan e o grande rio acontecem,Brasil
Onde os pinguipes Brasilianus vive no mundo?,Oceano Atlântico do sudoeste
De onde ocorre a história da história para o mar do rio?,"Manaus, Brasil."
O clima é verde quando fica,chuva
"Quando foi o projeto final do Parque Amazônica da Guiana, apresentou",início de 2006.
que é o pesquisador biométrico brasileiro que foi pioneiro do uso de biométrico,Felix Pacheco.
Qual time de futebol brasileiro é nomeado após o rio Capibaribe,Capibaribe do Clube Náutico.
Quantas espécies de Thysanoptera estão no Brasil,520.
as montanhas do Espinhaço fluem em que oceano,oceano Atlântico
Quanto tempo dura o litoral do Rio de Janeiro,635 quilômetros
Onde chove mais em Puerto Eden?,Bahia Felix.
O rio Ireng faz parte da fronteira entre Guiana e qual país,Brasil
que vivem nas cidades da Bacia Amazônica e nas aldeias do rio do Brasil e Peru,Judeus amazônicos
onde é a praia mais longa do mundo localizado,Brasil
Quanto da carne brasileira é cultivada na região do Cerrado,mais de 70%
Que tipo de praia é Copacabana no Rio de Janeiro,balneário
Quem hospedou a próxima temporada do modelo de topo do Brasil,Fernanda Motta.
A principal atividade humana no Delta do Paraná Delta é a exploração do que,a floresta de salgueiro
Qual é a característica geográfica mais conhecida do Mato Grosso do Sul,Pantanal.
Quando foi o período de Rupes Tenuis em Marte,Período Amazônia tardio
quanto seria a floresta amazônica ser reduzida em duas décadas,40%
Que evidência suporta a teoria da especiação da floresta amazônica,Evidência genética
Onde o tapírus Kabomani vive?,floresta amazônica
Quando o Brasil abriu o rio Amazonas?,31 de julho de 1867.
Quantas plantas vivem no bioma pantanal,3500.
Onde os animais moravam em quem é aquela garota?,Floresta tropical brasileira
O rio Acre é uma fronteira entre a Bolívia e que outro país,Brasil
Em que cidade foi a conferência da ONU sobre o meio ambiente e o desenvolvimento realizado em junho de 1992,Rio de Janeiro
Quantos barcos estão na Baía Bahia,centenas
Quando a floresta amazônica foi explorada por insetos,T.
Quando o Brasil recebeu o controle das florestas de Acre?,17 de novembro de 1903
Qual é o nome da Mata Atlântica Brasileira de propriedade de Anne,Mata Atlântica.
Onde fica o Zoológico do Sul Muri localizado no Brasil,Sorocaba.
As florestas costeiras da Serra do Mar fazem parte da qual bioma florestal,Bioma da Mata Atlântica do Sul Americana
Onde os pássaros puff alados de andorinha moram na América do Sul,Brasil
Quantos guerreiros apiaca estavam lá na Amazônia,200 a 300.
Quando começa a temporada de acasalamento brasileira de três brasileiras,Outubro a janeiro
O rio Ucayali é em que a floresta tropical,floresta amazônica
Quando o massacre do capacete aconteceu na Amazônia?,Março de 1988.
Quando Vicente Canas morreria na Amazônia?,1987.
Quantos episódios estão em Las Amazonas,105.
Por que o Brasil queria comprar o Oceano HMS?,conveniente
Em que país é a língua amazônica Barasana,Colômbia
onde vive o trogon amazônico na América do Sul,Florestas úmidas
Qual é o nome da planta que os amazônicos costumavam fazer a terra,Terra Preta.
Quão longe é a praia de Itacarezinho da Bahia,15 km.
Qual é o território contestado entre o Brasil e o Uruguai,Ilha brasileira
Thrush como Wren encontrado na floresta amazônica,C. Turdinus Hypostictus.
De onde vive o marmoso do anão no mundo?,Floresta amazônica
A ilha de Vera de Vera Cruz é em que país sul-americano,Brasil
Quais são os principais tipos de habitat da floresta tropical do cerrado?,Park Savanna.
Qual foi o objetivo principal da estrada amazônica?,agricultura
"O Aquífero sob a Argentina, Brasil, Paraguai e Uruguai",Guarani.
Passo Fundo é em que rio,Rio Grande do Sul
Pico das Agulhas Negras é o ponto mais alto de qual cortesia,Montanhas de Mantiqueira
Quais dois grandes crátons sul-americanos faziam parte da Pannotia Super,Amazônia
Quem joga em Las Amazonas Mexican TV Show,Victoria Ruffo
onde é a língua yuri falada no Brasil,Amazonas
As encostas de Mauá foram originalmente ocupadas pela qual tipo de floresta,Mata Atlântica
Quantas espécies de cobras foram descobertas pelo médico vital Brasil,Quatro.
Qual batalha de 1711 aconteceu na costa portuguesa,Batalha do Rio de Janeiro
Quem Tom Swift virou o submarino para,governo brasileiro
onde estava através do arco do conjunto de floresta tropical,Brasil
A reserva do Cerrado Biosfera faz parte de qual país,Brasil
Quantas toneladas de grãos o Brasil tem em 2008,145.400.000 toneladas
Qual rio se junta ao rio Piracicaba em Minas Gerais,Rio Tietê.
Que tipo de ecorregião é a Amazon Caatinga,neotropical.
O rio Carioca é atravessa qual cidade,Rio de Janeiro
Qual é o principal problema no sistema de água do Brasil?,Poluição da água
Qual país o Equador fez seus territórios amazônicos para,Colômbia
Quando o Pantanal foi declarado uma zona húmida tropical,1982.
Quais práticas moldaram a floresta amazônica,jardinagem florestal
Quando foi descoberto o macaco do Palácio de Ouro no Brasil?,2004.
que animal estava a bordo do rio de janeiro,cavalos
Quem tem o selo nacional do Brasil,O Presidente do Brasil
onde está o craton amazônico localizado na América do Sul,América do Sul
Qual é o nome da ponte sobre o rio Parana Guazú,Justo José de Urquiza
Qual é o nome da igreja pentecostal indígena no Brasil,Brasil para Christ Pentecostal Church
que fundou a região colonial espanhola no Amazonas,Alonso de Alvarado.
O musical Yanomamo por Peter Rose e Anne Conlon foi sobre,a floresta amazônica
O marmoset comum é um macaco nativo a qual país,Brasil
Qual rio forma a fronteira natural entre o Brasil e o Rio Brano,Rio de Yaguarón.
qual região do Brasil tem um clima semi árido,Nordeste
Qual é o nome da savana no Brasil?,Cerrado
Quantos judeus amazônicos se mudaram para Israel em 2013,150.
Quem foi o último inglês a ser morto por uma amazônica,Richard Maurice Ledingham Mason
O rio Chui sobe nas planícies costeiras arenosas da qual estado sul-americano,Rio Grande do Sul
Onde o filme Anaconda aconteceu?,a floresta amazônica
Quem é o artista do pop art amazônio,Pablo amaringo.
Quantas espécies de peixe troglobítico no Brasil,25.
Quanto tempo durou o sabão brasileiro Chiquititas,Cinco estações.
Que país é a Amazonas localizada na América do Sul,Brasil
Quantas espécies de árvores são encontradas em um hectare na Mata Atlântica,450.
Quando a Universidade Estadual da Amazonas ficou melhor,2011.
Quantas espécies invasoras existem no Brasil?,mais de 300.
Quem administra a floresta nacional de Lorena no Brasil,ICMBIO.
Onde fica o Pantanal Wetland localizado em um mapa do mundo,Brasil
Onde os capuchos robustos evoluíram de,Mata Atlântica
Que nota o Brasil conseguiu para o bem-estar animal?,C.
Quem os judeus amazônicos se casam no Brasil,Mulheres indígenas
"O Amazon Theatre em Manaus, Brasil foi construído durante o qual período de tempo",Belle époque.
O que é produzido por solos oligotroficais na Amazônia,flores silvestres
Quando começa a temporada de 2019 no Brasil?,28 de abril de 2019
Quantos tipos de habitats estão na Bahia Adair Bay,três
Qual submarino alemão torpedeou o navio brasileiro Maceió em 1918,U-43.
onde está o pássaro spinetail do Spix encontrado,Brasil
o estado é norte da ilha da Bahia,Salvador
O que a ajuda da Biosfera da Floresta Atlântica ajuda?,Consciência e Educação Ambiental no Brasil
Que tipo de palmeira é encontrada na floresta amazônica,Patawa.
Quanto dinheiro foi doado para a floresta amazônica,117 milhões
Onde o povo tupi viveu pela primeira vez no Brasil?,floresta amazônica
Qual marco no Rio de Janeiro foi a cena do acidente de avião em,Montanha de Sugarloaf.
O que o estudo da ilha brasileira,Dano de fogo à vida selvagem local
Qual é o nome da música afrikaans sobre o Battleship Alabama,Daar Kom Die Alibama
Onde o Brasil e a Ucrânia se reuniram em 2003,Nova york
Qual porcentagem das espécies ameaçadas do mundo está no Brasil,mais de 6%
O Parque Estadual Xixova-Japui protege qual floresta,Mata Atlântica
Qual cidade da Flórida tem o maior número de brasileiros nos EUA,Pompano Beach
Quando o Paraguai e o Brasil estabeleceram uma empresa de hidreletricidade,Abril de 1973.
o que é a cor do guarda-chuva da Amazônia,Preto
Número mínimo de assentos no Brasil Congresso Federal,8.
Pedra do Baú e a Pedra do Baú estão localizadas em que a montanha,Montanhas de Mantiqueira
Quando foi criado o parque nacional de Pantanal criado,24 de setembro de 1981.
Quando a ilha de Santa Catarina se tornou uma área protegida,1975.
Qual parque nacional foi criado em 1985 pelo povo Kiriri,Parque Nacional de Chapada Diamantina
Quantas universidades reservam slots de entrada para pessoas indígenas no Brasil,20.
Qual é a vegetação na Serra de Santa Barbara State Park chamada,cerrado
onde está localizada a Universidade do Estado da Amazonas?,"Manaus, Amazonas, Brasil"
Por que o uso de recursos florestais tão limitados no Brasil,Falta de financiamento do governo
A Universidade Federal do Amazonas está localizada onde,"Manaus, estado de Amazonas, Brasil"
Qual é o nome do maior assentamento indígena no Brasil,Marajoara.
Quando a próxima temporada do modelo do Brasil começa 3,10 de setembro de 2009
Villegagnon Island é em que país,Brasil
O rio Araguaia é um afluente de qual outro rio,Tocantins.
que apelido foi dado ao gol marcado por Mike Lake contra Southampton no,BENDE BRASILEIRO.
Quando a academia da Amazon Valley se mudou para o Brasil?,1963.
Onde é que a temporada 8 dos roadies MTV ocorrem,Brasil
Quando Sunny Isles Beach se tornou uma cidade brasileira,2000.
Quando começa a chover no Brasil?,verão
Quem escreveu o romance novo Amazônia,Elizabeth Burgoyne Corbett.
Quem é o pesquisador que estuda a questão dos direitos das mulheres no Brasil,Rebecca Merkin.
Quantas espécies de borboleta existem na floresta amazônica,7.000.
Parintins é uma cidade em que estado sul-americano,Amazonas.
Quando foi o submarino alemão afundado no Brasil WW1,3 de maio de 1916
"potássio, nitrogênio e fósforo estão associados ao que nas florestas do Cerrado",área basal tronco de árvore
Qual rio é um afluente do rio Paraná,Rio Uruguai
Quando o Brasil será capaz de reduzir suas emissões de gases de efeito estufa,2020.
De onde vive o homem do buraco?,floresta amazônica
O rio Maracanã é um rio em que país,Brasil
que cor é a pele dos índios da Amazônia,Branco
Que tipo de pessoas são apiaca,povos indígenas do Brasil
Qual porcentagem de produtos de madeira brasileira vêm da silvicultura comercial,65%
Qual país tem um dos maiores programas de energia renovável do mundo,Brasil
Que tipo de inseto é o morcego amazônico?,insetívoro
Em que país é a floresta nacional de Carajás localizada,Brasil
onde é o centro nacional de pesquisa em vegetais no Brasil,Distrito Federal.
Quem hospeda a próxima temporada do modelo do Brasil,Fernanda Motta.
O gato pantanal é nativo a qual continente,América do Sul
Qual é o nome da bebida de recuperação de energia feita por Brasil Kirin em B,Skinka.
Quais são as terras tradicionais do Brasil demarcadas como,Territórios indígenas
Quem declarou as montanhas tumucumaque um parque nacional,o governo do Brasil
Quem fez cara Ritchie no Brasil,Renzo Gracie
o que é a cor da pelagem dorsal de rato Cerradomys,acastanhado
Quantas ilhas estão na Bahia de Loreto,cinco
que trouxe doenças para o Brasil que tornava impotente,o portugues
onde vive o pirahã na floresta amazônica,Manicoré.
O que é um exemplo de uma grande área do Peru,floresta amazônica
Qual é o principal bioma da agricultura do Brasil?,Cerrado
A Amazonas é um estado brasileiro ou um país,Brasil
Qual é o nome para o xamã do espírito primordial na Amazônia,Tsunki.
onde é o lâmina de água mais alta no Brasil,Parque Aquático
Quantos indianos amazônicos participaram da reunião de Altamira,mais de 600.
Qual estado tem uma grande proporção de suas terras reservadas para os povos indígenas,Roraima.
Qual é a corrente oceânica dominante no Rio de Janeiro,Corrente do Brasil quente
O arquipélago de Abrolhos é parte do que,Corredor ecológico da Floresta Atlântica Central
Qual é o clima da região costeira da Bahia,tropical
"Qual país da América do Sul já foi conhecido como ""Reino das ilhas""",Brasil
Por que o boom da Amazon aconteceu no Brasil?,Extração e comercialização de borracha
Quando foi a primeira lei de bem-estar animal promulgada no Brasil,1924.
"Quando foi introduzido a redução de emissão de gás de aterro, introduzida no Brasil",início de 2000.
O rio da Madeira forma a fronteira entre a Bolívia e que outro país,Brasil
Onde os saguições prateadas vivem no Brasil?,a floresta amazônica oriental
Quantos cursos de pós-graduação são oferecidos na Universidade Federal da Amazonas,65.
Onde o USS Thrush deixou o Brasil em 1942,Fortaleza Bay
Quão longe é a praia da Bahia Solano,18 km.
Mole Beach é em qual cidade do Brasil,Florianópolis.
Qual porcentagem do carvão do Brasil é demitida nas estações de poder,85%
O Aeroporto de Fernando de Noronha está localizado em que país,Brasil
O que afetou a mata no início do Atlântico na Europa,subir na temperatura
O território indígena Balaio é em que país,Brasil
Quem aprovou o mosaico paranapiacaba em 2011,Câmara de compensação ambiental
Quem iniciou um projeto para preservar a floresta amazônica em 2007,Presidente Rafael Correa.
Plano de borracha foi o codename dado aos planos dos EUA para a ocupação de que área,Costa do Norte do Brasil
Por que Santa Catarina é um local de mineração de carvão?,preocupação ambiental
Qual é o nome da orogenia no crato amazônico?,Sunsás.
O que é proibido no parque amazônico,mineração de ouro
De onde ocorreu o protesto do Rio de Janeiro?,praia de Copacabana
As florestas atlânticas do Alto Parana são uma extensão do que,Florestas costeiras.
O rio Chandless no Brasil é nomeado após quem,William Chandless.
Mais de 80 espécies de animais foram registradas no Tocantins-Arag,morcegos
Quantas espécies de anfíbios estão no Brasil,mais de 500.
Qual parque nacional protege o rio Paraná.,Predelta National Park
Quantos peixes mortos lavaram em terra no Brasil em 2011,100 toneladas
onde eles filmaram Chiquititas temporada 5 vídeos,Fernando de Noronha
onde a Wake Island colocou seu curso para em março,"Recife, Brasil."
em que país sul-americano é a praia virgem de Jericoacoara,Brasil
Que tipo de questões o Irã tem no Rio de Janeiro,de Meio Ambiente
Em que país são as cidades amazônicas,Brasil
O Kwaza são indígenas em que país sul-americano,Brasil
Que oceano está na costa leste do Brasil,oceano Atlântico
De onde vive o papagaio da Amazon Live,Mata Atlântica no Oriente Brasil
Qual é o peso do trem da supervista no Brasil?,7 kg.
Onde fica o Chafariz Doscontos localizado no Brasil Indiana,Parque Florestal
Santos foi o ponto de entrada para o qual doença no Brasil,praga bubÔnica
Qual país sul-americano é o lar da ilha de Floriano-Polis,Brasil
Como é a forma da floresta amazônica,jardinagem florestal
Que baía é o porto do Rio de Janeiro em,Baía de Guanabara
Que costa é o Rio de Janeiro em,Costa atlântica
O que cobre a estreita zona costeira de Santa Catarina,Serra tropical úmida do mar florestas costeiras
Quem patrocinou a próxima temporada do modelo do Brasil,Modelos ford.
Quais são os principais rios do parana-delta?,Paraná bravo.
Em qual cidade as Ilhas Virgens Britânicas competirão no Olímpico de 2016 verão,Rio de Janeiro
A floresta nacional de Carajás é em que estado sul-americano,Pára.Brasil
Qual é o nome da vegetação na Redenção,Caatinga.
Que tipo de brigado é encontrado na natureza,Beting Brown Amazônico
Qual é a baía em que Puerto Barrios está localizado?,Bahia de Amatique
Qual grupo de aves incuba os ovos do Merganso Brasileiro,Pássaros femininos.
Qual método é usado para alocar assentos no Brasil,Método de D'Hondt.
O que causou o fim das reivindicações espanholas no Amazonas,destruição das missões
"Em 2009, o voo 447 da Air France desapareceu da costa de",Brasil
Quando a água veio da mangala valles,Hesperian e épocas amazônicas
Anarchistopterus Criniger é encontrado fora da costa de,Brasil
Há quanto tempo a floresta amazônica poderia sobreviver,três anos de seca
Onde fica a praia de Copacabana localizada no Brasil,Rio de Janeiro
Quando foi construída a arena pantanal para a Copa do Mundo,26 de abril de 2014.
Qual é a principal causa de emissões de carbono no Brasil,desmatamento
Quanto o Brasil reduziu as emissões de gases de efeito estufa em 2016?,"38,9%"
Quantas pessoas trabalham no Brasil para produzir energia renovável,Mais de 1 milhão
De onde vive o diada amazon no Brasil?,bacia do Amazonas
que fez o Wallid Ismail trem no Brasil,Carlson Gracie.
Quantas refinarias de tesoro processa óleo bruto amazônico,Três
Qual porcentagem da água do Brasil vem da Amazônia e da Tocant,56.
Quando o Brasil começou a desmoronar a terra para o gado,1970.
Quantos armadilos estão nas florestas do Atlântico do meio,n.
Qual é o nome da montanha que se levanta da costa do Brasil?,O Rio Grande Rise
O território indígena Yanomami é em que cidade,Rio de Janeiro
Quantas pessoas vivem na região de Caatinga do Brasil,26 milhões
De onde morava a cambeba no Brasil?,Bacia do Amazonas
Onde está o tapírus Kabomani encontrado no mundo?,floresta amazônica
O Parque Nacional de São Joaquim está localizado em que Bioma,Mata Atlântica
O parque estadual do Rio Doce protege os remanescentes dos quais floresta,Mata Atlântica
onde eles encontram internet admissões na Amazônia,estabelecimentos municipais
Quem construiu a primeira planta hidrelétrica no Brasil,Delmiro Gouveia.
O que o Ministério da Educação aboliu em 1977 na Universidade Estadual da Amazonas,Engenharia operacional
Quantos competidores restam na 5ª temporada do Brasil,trinta
O Rio Grande do Norte é um rio em que país sul-americano,Brasil
Quilombos são indígenas a que país sul-americano,Brasil
Onde fica o Teatro Amazonas no Brasil,Manaus.
qual arquipélago é apelidado de Galápagos do Brasil por alguns pesquisadores,Alcatrazes.
Quem acompanhou Americano e Eva Makk para a floresta amazônica,Padre missionário católico
Qual é o nome científico do rato do pântano Amazônico?,Holochilus sciureus.
Onde encontramos a era amazônica?,Marte.
em que país sul-americano você encontraria o pássaro alagoas,Brasil
que planeta é mulheres amazon de bom humor em,Amazônia
Quem treinou a força expedicionária brasileira,Funcionários americanos
Em que país é a floresta de Tijuca,Brasil
"O Wari, uma tribo amazônica, é nativa de qual país",Brasil
Quem fez brasilwood e outros produtos vêm,Pessoas indígenas
O Yudja são um povo indígena do qual país sul-americano,Brasil
Qual país sul-americano é o lar da ilha de Floráia,Brasil
Quando foi o protesto kichwas amazônico realizado,1992.
Solanum Lycocarpum é nativo para o qual a savana brasileira,Cerrado ecorregião
Quantas espécies de Bifrenaria estão presentes no Brasil,dezessete
Qual é o nome da barragem que represou o rio Paraná?,Barragem Itaipu.
Quem explorou a Floresta Amazônica no Noel Kempff Mercado,Percy Fawcett.
Qual estado português é nomeado após a baía de todos os santos,Bahia.
que dispara o primeiro tiro em uma inauguração presidencial brasileira,Bateria de Cayenne.
Onde fica a área protegida pela região amazônica localizada,Brasil
Cape Laranja no Brasil é o único lugar onde os ninhos de pássaros,Flamingo americano.
que cor é o rabo de um gato pantanal,Preto
Qual batalha aconteceu em 12 de setembro de 1631 da costa do Brasil,Batalha de Albrolhos
Qual rio foi recuperado pelo espanhol em 1763-1777,Rio Grande do Sul
Em que cidade eram os atletas brasileiros pintados como animais por Emma Fay,Rio de Janeiro
Quando o avião acidente na floresta amazônica,24 de dezembro de 1971
onde é o centro de treinamento de confederação de futebol brasileiro,Teresópolis.
a baía de todos os santos no Brasil era um terreno de acasalamento para o qual os animais,baleias
onde a série de TV inami ocorre,Amazônia
O que é afetado pelo envenenamento por mercúrio no Brasil,animais selvagens
O que protege parte da costa certa (leste) do rio Maracanã,A reserva extrativista de Chocoaré - Mato Grosso
"""O romance"" ""Mar da morte"" conta a história dos marinheiros de que país",Bahia.
Quantas espécies invasoras foram encontradas no Brasil,mais de 300.
De onde vem o látex no Tabernaemontana Undulata,Água do rio Amazônica
Qual evento geológico ocorreu 2000 milhões de anos atrás no Uruguai,Orogenia transamazoniana
O que ARPA significa na floresta amazônica,Programa de Áreas Protegidas da Região Amazônica
onde o tubarão shark brasileiro vive,Oceano Atlântico Ocidental
O que fez o fogo do beijo no Brasil,Dispositivo de fogo de artifício ilegal
Onde fica a maioria da floresta tropical do mundo,Brasil
quanto tempo levaria a cana-de-açúcar etanol produzido em terras cerrado para pagar,17 anos
Quão longe é o rio Tocantins do Pará,Cerca de 2.450 km.
Quão longe é a praia de Camboinha do Rio de Janeiro,1 hr drive
Quais baías formam o litoral do Rio de Janeiro,Guanabara
quanto tempo poderia a floresta amazônica sobreviver sem seca,três anos
Ilha de Ascensão fica da costa da qual país sul-americano,Brasil
"Balneario Camboriú é uma grande cidade de Beach Resort, no qual a América do Sul",Santa Catarina.
O que foi fechado na Floresta Nacional de Roraima em 1992,Minas de ouro
Por que os homens amazônicos foram mortos,Para proteger o sigilo da ilha
Qual é o nome da sutura entre o oceano pharusiano e o con,Lineamento Trans Brasileiro.
O que a coruja pigmeu brasileira leste se alimenta,pequenos insetos
que tipo de clima as cidades do sul do Brasil têm,subtropical
Qual é o nome do lago no estado brasileiro de Caldas,Lago de Piratininga.
Qual é o clima de Sorocaba no Brasil?,tropical
O jardim do diabo é uma grande posição de árvores em que a floresta tropical,Floresta amazônica
Qual é o nome do submarino brasileiro que parou de se comunicar com o argent,San Juan.
A reserva extractiva marinha Maracanã é em que estado do Brasil,Pára
Que tipo de vegetação é no parque estadual de Pedra Branca?,Mata Atlântica
Quando a temporada 3 do próximo modelo de topo do Brasil do Brasil,10 de setembro de 2009
As montanhas Tumucumaque são o ponto mais alto em que o estado brasileiro,Amapá.
Paraty é em que rio no Brasil,a Costa Verde.
Tityus Serrulatus é o veneno mais mortal de qual espécies,Escorpião amarela brasileira.
Qual atual corre ao longo da costa sul do Brasil,O Brasil atual
A fortaleza de Santa Catarina foi construída na boca da qual rio,o rio Arade.
onde foi a ilha de Trindade UFO filmado,Brasil
Quanto desmatamento a floresta amazônica tem,cerca de 14%
O que significa Tatuí no Brasil?,Rio de Armadillos.
Quanto tempo dura a rodovia trans-amazônica?,4.000 km.
Quando a Amazonas foi criada como um estado,1994.
Onde os macacos de tamarina de lábios brancos vivem,Brasil
Há quanto tempo a floresta amazônica foi um deserto,pelo menos 11.000 anos
Qual é a vegetação em Franca Brasil?,pastagens
Adriano Schneider é um pesquisador brasileiro que está tentando combater,o vírus Zika.
Qual é o nome da floresta tropical que cobre o norte do Brasil?,floresta amazônica
Quem é o advogado geral do Brasil agora,Grace Mendonça.
O armadillo de três bandidos é a ave nacional de qual país,Brasil
Quando foi construída a primeira usina de energia renovável do Brasil,1983.
Quando as ilhas de Alcatrazes foram descobertas no Brasil,2011.
Qual é o ponto mais alto das montanhas de Pacaima,Monte Roraima.
"Swartzia é um gênero de leguminosa na Família Fabaceae, encontrada em",Amazônia
O que os piratas franceses procuraram no Rio Grande do Norte,brasilwood
Qual é a 4ª montanha mais alta do Brasil?,PEDRA DA MINA.
O rio Meia Ponte é em que estado sul-americano,"Goiás, Brasil"
Quando a terra amazônica em Marte,cerca de 3 bilhões de anos atrás
Quais são as ilhas no Delta do Rio Paraná na Argentina,Islas del Paraná.
Qual foi o nome da primeira usina nuclear do Brasil,Angra 1.
onde é a empresa Vale River Valley,"Itabira, Minas Gerais"
De onde vive o bagre de Schwartz no Brasil?,a bacia do rio Purus
Qual é a capital do estado do Amazonas no rio da Madeira?,Manaus.
onde o homem v monstro acontece,floresta amazônica
Qual é o nome científico do manatee amazônico?,Trichechus inunguuis.
Qual rio atravessa a Bolívia e o Brasil,O rio Acre
Quando foi revisado o código da floresta no Brasil,1965.
Que tipo de avaliação de impacto ambiental foi feita em ilhas de Alcatrazes,Uma avaliação de impacto ambiental
Quando o Brasil perdeu 2700 animais para aquecer,2012.
Por que Ilha Grande é tão importante para o Brasil?,Biodiversidade e conservação
Qual foi o nome original da Universidade Estadual da Amazonas?,Universidade de Tecnologia da Amazonas
Qual é a redução projetada na floresta amazônica até 2030,40%
Onde o Ticuna vive na Amazônia?,Brasil
Quando ocorre a estação chuvosa em Mato Grosso,Dezembro a maio
Qual é o nome da savana no centro do Brasil,Cerrado
Quais são as principais savanas na Caatinga?,Cerrado
onde fica a floresta amazônica encontrada no Peru,leste dos Andes
Qual é o nome da montanha no Rio de Janeiro,Montanha de Sugarloaf.
qual organização afirma que o Brasil tem uma interseção de muitas culturas,Instituto de Harvard de pesquisa econômica
Qual é o nome do maior rio do Brasil,Amazonas
O que há de errado com o termo pop art do Amazonian,estilo ingênuo
Qual cidade sul-americana está situada na praia da Praia do Forte,Salvador de Bahia.
"Qual é o nome do círculo de pedra no estado de Amapá, Brasil,",a Amazon Stonehenge
Quantos europeus Jan van Ryen encontrou na selva amazônica?,três
Quantas espécies de invertebrados estão no Brasil,128.843.
Quantas espécies ameaçadas estão na reserva da biosfera brasileira,202.
Onde estava o mar de morte de Jorge Amado,Bahia.
O que é uma grande ameaça aos mercúrios brasileiros,siltimento de rios
quem faz nino trem com no Brasil,Casa Preta
onde foi o final do rio Amazonas filmado em 1947,Brasil
Quando a floresta atlântica declarou uma reserva da biosfera,1991.
Quem é o capitão da Florencia en El Amazonas,Arcadio.
O Parque Nacional Bahia de Loreto protege qual baía,Loreto Bay
Quando o Americo e Eva vão para a floresta amazônica,1958.
A floresta nacional de Macauá é em que estado sul-americano,"Acre, Brasil."
Quando o Brasil quer reduzir as emissões de gases de efeito estufa?,2020.
onde o macaco não escala árvore cresce,a floresta amazônica
Que tipo de cobras atacará um sapo venenoso apoiado vermelho,Cobras moídas amazônicas
O pintor é um povo indígena do qual país sul-americano,Brasil
onde é o kudzu encontrado na bacia amazônica,Brasil
Onde o manatee amazônico pega seu calor,gordura subcutânea
Quem é a mãe de Aholibamah na Bíblia,Anah
O que é um exemplo de um parque nacional que tem vegetação de cerrado exclusivo,Parque Nacional de Chapada dos Veadeiros
Quantas espécies marsupiais são encontradas no Mato Grosso,3.
O PAU OCO State Park protege qual floresta,Mata Atlântica
Quantos soldados saltaram por Caatinga na primeira peça de roupa,100.
Florencia en El Amazonas estreou em que a Opera House em 2005,Ópera de Seattle
Onde as aves da Amazônia migram para,floresta amazônica
Qual porcentagem da ajuda externa do Brasil vem do exterior,Mais da metade
Por que os Amazonas têm um grande crescimento populacional no início do século XX?,Período de borracha de ouro
Qual país tem o maior número de florestas tropicais no mundo,Brasil
"Qual rio faz parte do limite entre o Brasil, a Argentina e o UR",Rio Uruguai
O rio Caijari é executado pelo qual o estado do Brasil,Pára
